user_id,is_new,device,geo,traffic_source,payment_method,session_date,is_recent_window,app_version,page_load_ms,did_view,did_cart,did_checkout,did_purchase
1,1,mobile,EU,referral,card,2025-12-30,0,1.9.0,1465,1,1,0,0
2,0,mobile,BR,email,card,2026-01-02,0,1.9.0,1169,0,0,0,0
3,0,desktop,IN,paid_search,upi,2025-12-13,0,1.9.1,593,1,1,0,0
4,0,mobile,US,organic,card,2025-12-19,0,1.9.0,1662,1,1,0,0
5,1,mobile,US,organic,card,2026-01-16,0,1.9.0,1630,1,0,0,0
6,1,desktop,EU,referral,card,2026-02-07,1,1.9.1,985,1,1,1,1
7,1,desktop,IN,organic,upi,2025-12-19,0,1.9.0,727,1,0,0,0
8,0,mobile,IN,paid_search,cod,2026-01-04,0,1.9.0,1799,1,1,1,1
9,0,mobile,US,organic,cod,2026-01-20,0,1.9.1,1494,1,0,0,0
10,0,mobile,BR,paid_search,card,2026-01-13,0,1.9.0,1632,1,1,1,1
11,1,mobile,EU,organic,upi,2025-12-16,0,1.9.0,1884,1,0,0,0
12,0,desktop,US,organic,card,2025-12-21,0,1.9.0,1444,1,1,0,0
13,0,desktop,IN,paid_search,card,2026-01-18,0,1.9.0,558,1,1,1,1
14,1,desktop,IN,organic,upi,2025-12-23,0,1.9.1,1007,1,1,1,0
15,1,mobile,IN,referral,card,2025-12-25,0,1.9.0,1733,1,1,0,0
16,1,desktop,IN,paid_search,paypal,2026-01-21,0,1.9.1,831,1,1,1,0
17,1,mobile,EU,organic,card,2026-01-05,0,1.9.0,1388,1,1,1,0
18,1,mobile,US,organic,card,2026-02-02,1,2.0.0,1954,1,0,0,0
19,1,mobile,IN,organic,paypal,2026-01-28,1,2.0.0,1685,1,1,0,0
20,1,mobile,US,organic,card,2026-01-15,0,1.9.0,1710,1,1,1,0
21,0,desktop,US,paid_social,card,2026-01-05,0,1.9.1,858,1,1,0,0
22,1,mobile,IN,organic,upi,2026-01-24,0,1.9.0,1225,1,0,0,0
23,1,mobile,US,organic,paypal,2026-01-02,0,1.9.0,1279,1,1,1,0
24,1,mobile,US,organic,card,2026-02-04,1,2.0.1,1869,1,0,0,0
25,1,desktop,IN,paid_social,card,2026-01-26,0,1.9.0,935,1,1,1,0
26,0,mobile,OTHER,paid_search,card,2025-12-15,0,1.9.1,1574,1,0,0,0
27,1,mobile,EU,organic,card,2025-12-30,0,1.9.1,1612,1,1,1,1
28,1,desktop,US,referral,upi,2025-12-31,0,1.9.0,951,1,1,1,1
29,0,mobile,IN,paid_search,card,2026-01-07,0,1.9.0,1564,1,1,1,1
30,1,mobile,IN,paid_search,upi,2026-01-03,0,1.9.1,1808,0,0,0,0
31,0,mobile,US,organic,upi,2026-01-19,0,1.9.0,1598,1,1,0,0
32,1,mobile,US,paid_social,paypal,2026-01-27,1,2.0.0,1975,1,1,1,0
33,1,desktop,US,paid_search,upi,2026-01-26,0,1.9.0,941,1,1,1,1
34,0,mobile,IN,organic,cod,2025-12-24,0,1.9.1,1572,1,0,0,0
35,0,desktop,EU,organic,upi,2026-01-24,0,1.9.0,989,0,0,0,0
36,0,mobile,IN,organic,card,2026-01-27,1,2.0.1,2041,1,1,1,0
37,1,desktop,OTHER,organic,cod,2025-12-26,0,1.9.0,1024,1,1,1,1
38,1,mobile,US,paid_search,card,2025-12-27,0,1.9.1,1592,1,0,0,0
39,0,mobile,OTHER,paid_search,card,2026-01-19,0,1.9.0,1216,1,1,1,1
40,1,mobile,IN,paid_search,upi,2026-02-04,1,2.0.0,2046,1,1,0,0
41,1,mobile,US,organic,card,2026-02-05,1,2.0.1,2302,1,1,1,1
42,1,mobile,OTHER,paid_search,card,2026-01-22,0,1.9.0,1698,1,1,1,1
43,1,mobile,IN,paid_search,card,2026-01-28,1,2.0.0,2123,1,1,0,0
